timestamp,machine_id,product_code,cavity_id,operator_id,shift,material_batch,ambient_temp_C,melt_temp_C,injection_pressure_bar,hold_pressure_bar,cooling_time_s,cycle_time_s,material_moisture_pct,screw_speed_rpm,vibration_rms_g,energy_kwh,dimensional_deviation_mm,scrap,scrap_type,defects_count
2025-03-01 06:00:00,IM-02,PX-100,C6,O014,Early,BATCH-202509,22.49,238.42,1016.1,753.5,16.3,44.3,0.173,134.9,1.922,2.991,0.01,1,SinkMark,2
2025-03-01 06:06:00,IM-05,PX-200,C3,O006,Early,BATCH-202508,20.59,240.81,1013.7,657.3,17.24,37.42,,123.8,1.899,3.277,0.001,0,None,0
2025-03-01 06:12:00,IM-04,PX-100,C6,O002,Early,BATCH-202505,22.94,233.01,906.3,695.2,16.51,38.59,0.183,138.5,1.472,3.123,-0.026,0,None,0
2025-03-01 06:18:00,IM-02,PX-100,C8,O010,Early,BATCH-202508,25.57,231.33,1023.6,656.0,18.28,37.6,0.227,130.9,2.003,3.101,-0.0,0,None,0
2025-03-01 06:24:00,IM-04,PX-200,C1,O014,Early,BATCH-202506,20.3,228.49,1108.6,610.0,20.99,41.38,0.143,113.7,1.279,2.971,0.03,0,None,0
2025-03-01 06:30:00,IM-02,PX-100,C3,O005,Early,BATCH-202508,20.3,230.05,948.1,515.5,16.07,47.27,0.138,135.5,1.572,3.35,-0.007,0,None,0
2025-03-01 06:36:00,IM-04,PX-100,C2,O005,Early,BATCH-202504,25.74,252.69,1133.9,662.3,20.5,41.98,0.242,123.2,1.101,2.789,0.025,0,None,0
2025-03-01 06:42:00,IM-02,PX-200,C3,O005,Early,BATCH-202505,23.3,242.47,1089.0,603.5,16.05,40.01,0.157,115.3,2.346,2.798,-0.05,0,None,0
2025-03-01 06:48:00,IM-01,PX-200,C6,O006,Early,BATCH-202509,19.59,226.89,991.3,602.0,15.88,35.14,0.117,123.3,1.72,2.233,-0.036,0,None,0
2025-03-01 06:54:00,IM-01,PX-200,C3,O003,Early,BATCH-202509,22.63,227.07,1038.7,620.1,20.05,44.49,0.156,133.3,2.559,3.27,-0.044,0,None,0
2025-03-01 07:00:00,IM-03,PX-100,C1,O010,Early,BATCH-202506,19.61,237.89,1177.9,754.7,20.3,38.5,0.163,125.5,2.082,2.873,-0.034,0,None,0
2025-03-01 07:06:00,IM-02,PX-300,C1,O005,Early,BATCH-202505,19.6,238.28,1108.7,794.3,20.13,42.54,0.258,141.9,1.958,3.927,0.077,0,None,0
2025-03-01 07:12:00,IM-01,PX-200,C1,O008,Early,BATCH-202506,21.73,238.29,1050.7,663.0,14.71,40.42,0.226,133.0,1.596,2.758,0.044,0,None,0
2025-03-01 07:18:00,IM-05,PX-300,C2,O004,Early,BATCH-202511,15.26,233.47,1031.0,622.1,16.84,45.78,0.237,126.3,1.435,2.931,-0.064,0,None,0
2025-03-01 07:24:00,IM-05,PX-200,C7,O014,Early,BATCH-202509,15.83,234.25,1056.1,579.4,20.06,41.3,0.221,107.7,1.984,3.091,0.027,0,None,0
2025-03-01 07:30:00,IM-03,PX-200,C7,O005,Early,BATCH-202505,19.31,236.97,1009.1,678.1,18.1,41.75,0.227,117.8,1.776,2.514,-0.023,1,SinkMark,3
2025-03-01 07:36:00,IM-04,PX-100,C7,O015,Early,BATCH-202511,17.96,235.52,881.6,757.0,15.32,44.2,0.146,120.9,1.333,3.025,-0.041,0,None,0
2025-03-01 07:42:00,IM-05,PX-200,C4,O015,Early,BATCH-202511,21.94,221.68,1213.4,635.2,19.15,51.49,0.17,128.4,1.271,2.912,-0.089,0,None,0
